Boat,Category,Club,Courses_Nat,Division,Name,Num_Courses,Points,Points_Club,Rank,Scratch,Year
C1H,S,Canoe Kayak Pontarlier,"
			3		",niveau,Mathurin Madore,"
			4		","
			174.49		",915,"
			133		","
			36		","
			1996		"
C1H,V1,Ckc Vallee De L'ain,"
			3		",niveau,Etienne Daille,"
			4		","
			174.89		",913,"
			134		","
			37		","
			1989		"
K1H,S,Kayak Club De Rennes,"
			3		",niveau,Matheo Lebaindre,"
			4		","
			175.48		",930,"
			135		","
			64		","
			1998		"
C1D,S,Kayak Club Angerien,"
			3		",niveau,Ella Bregazzi,"
			4		","
			176.75		",936,"
			136		","
			11		","
			1996		"
C1H,S,Canoe Kayak De Quimperle,"
			3		",niveau,Gireg Hamoniaux,"
			4		","
			178.28		",911,"
			137		","
			38		","
			1990		"
C1H,S,C.k.c. Nancy Tomblaine,"
			3		",niveau,Thibault Blaise,"
			4		","
			179.83		",908,"
			138		","
			39		","
			1993		"
K1D,S,Cesson Sevigne Canoe Kayak Les Poissons Volants,"
			3		",niveau,Camille Castryck,"
			4		","
			180.4		",916,"
			139		","
			25		","
			2003		"
K1D,S,Pau Canoe-kayak Club Universitaire,"
			3		",niveau,Lea Baldoni,"
			4		","
			180.85		",912,"
			140		","
			26		","
			2001		"
K1D,S,Pau Canoe-kayak Club Universitaire,"
			3		",niveau,Carla Lacroix,"
			4		","
			180.92		",909,"
			141		","
			27		","
			2001		"
K1D,S,Canoe-kayak Saujon,"
			3		",niveau,Cerise Babin,"
			4		","
			183		",905,"
			142		","
			28		","
			2004		"
C1D,S,Pau Canoe-kayak Club Universitaire,"
			3		",niveau,Youlia Estanguet,"
			4		","
			183.77		",930,"
			143		","
			12		","
			2003		"
C1H,S,Canoe Kayak Club France,"
			3		",niveau,Paul Cascarino,"
			4		","
			183.8		",906,"
			144		","
			40		","
			2002		"
C1H,S,Etoile Amou Canoe Kayak,"
			3		",niveau,Emeric Nieser,"
			4		","
			185.2		",903,"
			145		","
			41		","
			2004		"
C1H,S,Kayak Club De Rennes,"
			3		",niveau,Timothee Cornu,"
			4		","
			187.83		",901,"
			146		","
			42		","
			2001		"
K1D,S,Pau Canoe-kayak Club Universitaire,"
			3		",niveau,Laurine Salesse,"
			4		","
			187.92		",902,"
			147		","
			29		","
